Sample	Group	DataPath
V_60_80	YBH_lt0.22μm	/backup/yangming/YM1XLD211101MV/0.data/ylbh_v123/V1_1.fq,/backup/yangming/YM1XLD211101MV/0.data/ylbh_v123/V1_2.fq
V_120	YBH_lt0.22μm	/backup/yangming/YM1XLD211101MV/0.data/ylbh_v123/V2_1.fq,/backup/yangming/YM1XLD211101MV/0.data/ylbh_v123/V2_2.fq
V_140	YBH_lt0.22μm	/backup/yangming/YM1XLD211101MV/0.data/ylbh_v123/V3_1.fq,/backup/yangming/YM1XLD211101MV/0.data/ylbh_v123/V3_2.fq
C_60_80	YBH_gt0.22μm	/backup/yangming/YM1XLD211101MV/0.data/origin/zhanghx/LD56w_1.fq.gz,/backup/yangming/YM1XLD211101MV/0.data/origin/zhanghx/LD56w_2.fq.gz
C_120	YBH_gt0.22μm	/backup/yangming/YM1XLD211101MV/0.data/origin/zhanghx/LD11w_1.fq.gz,/backup/yangming/YM1XLD211101MV/0.data/origin/zhanghx/LD11w_2.fq.gz
C_140	YBH_gt0.22μm	/backup/yangming/YM1XLD211101MV/0.data/origin/zhanghx/LD13w_1.fq.gz,/backup/yangming/YM1XLD211101MV/0.data/origin/zhanghx/LD13w_2.fq.gz
DC2_5	SCS_surface_lt0.22μm	/backup/yangming/YM1XLD211101MV/0.data/South_China_Sea2019_rmcontam/decontaminate/SRR20318970_1.fq.gz,/backup/yangming/YM1XLD211101MV/0.data/South_China_Sea2019_rmcontam/decontaminate/SRR20318970_2.fq.gz
DC6_5	SCS_surface_lt0.22μm	/backup/yangming/YM1XLD211101MV/0.data/South_China_Sea2019_rmcontam/decontaminate/SRR20318968_1.fq.gz,/backup/yangming/YM1XLD211101MV/0.data/South_China_Sea2019_rmcontam/decontaminate/SRR20318968_2.fq.gz
E1_5	SCS_surface_lt0.22μm	/backup/yangming/YM1XLD211101MV/0.data/South_China_Sea2019_rmcontam/decontaminate/SRR20318974_1.fq.gz,/backup/yangming/YM1XLD211101MV/0.data/South_China_Sea2019_rmcontam/decontaminate/SRR20318974_2.fq.gz
F2_5	SCS_surface_lt0.22μm	/backup/yangming/YM1XLD211101MV/0.data/South_China_Sea2019_rmcontam/decontaminate/SRR20318976_1.fq.gz,/backup/yangming/YM1XLD211101MV/0.data/South_China_Sea2019_rmcontam/decontaminate/SRR20318976_2.fq.gz
SEATS_5	SCS_surface_lt0.22μm	/backup/yangming/YM1XLD211101MV/0.data/South_China_Sea2019_rmcontam/decontaminate/SRR20318972_1.fq.gz,/backup/yangming/YM1XLD211101MV/0.data/South_China_Sea2019_rmcontam/decontaminate/SRR20318972_2.fq.gz
S5L0105	SCS_surface_gt0.22μm	/backup/yangming/YM1XLD211101MV/0.data/origin/OMZ_SCS_2022/S5L0105_1.fq.gz,/backup/yangming/YM1XLD211101MV/0.data/origin/OMZ_SCS_2022/S5L0105_2.fq.gz
S5L1105	SCS_surface_gt0.22μm	/backup/yangming/YM1XLD211101MV/0.data/origin/OMZ_SCS_2022/S5L1105_1.fq.gz,/backup/yangming/YM1XLD211101MV/0.data/origin/OMZ_SCS_2022/S5L1105_2.fq.gz
S7L1105	SCS_surface_gt0.22μm	/backup/yangming/YM1XLD211101MV/0.data/origin/OMZ_SCS_2022/S7L1105_1.fq.gz,/backup/yangming/YM1XLD211101MV/0.data/origin/OMZ_SCS_2022/S7L1105_2.fq.gz
